min_speed,max_speed,covariance
0,0.727356,0
0.727356,1.31684,0
1.31684,2.03255,0
2.03255,2.753,0.028999836214960516
2.753,3.5470900000000003,0
3.5470900000000003,4.34556,0
4.34556,5.15859,0.025375799966722897
5.15859,6.1163099999999995,0.05127008052170283
6.1163099999999995,7.30293,0.07520021545388807
7.30293,10.9605,0.14774444645546006
